wp_users_ID,difficult_img_image_name,difficult_img_version,vote,text,timestamp,deleted
2, ISIC_0010441 ,1, NV,, 2023-11-05 16:27:42 ,0
2, ISIC_0010476 ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0010576 ,1, NV,, 2023-11-05 16:28:02 ,0
2, ISIC_0010849 ,0, NV,, 2023-10-05 10:43:27 ,0
2, ISIC_0011084 ,1, MEL ,, 2023-11-05 16:27:53 ,0
2, ISIC_0011315 ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0012357_downsampled ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0012448_downsampled ,2, Altro , cisti sebacea, 2023-11-05 16:45:49 ,0
2, ISIC_0012522_downsampled ,1, NV,, 2023-11-05 16:28:09 ,0
2, ISIC_0012527_downsampled ,0, AK,, 2023-10-05 10:43:27 ,0
2, ISIC_0013258_downsampled ,0, NV,, 2023-10-05 10:43:27 ,0
2, ISIC_0013443_downsampled ,2, AK,, 2023-11-05 16:46:03 ,0
2, ISIC_0013739_downsampled ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0013845_downsampled ,0, NV,, 2023-10-05 10:43:27 ,0
2, ISIC_0014045_downsampled ,1, Altro ,, 2023-11-05 16:28:25 ,0
2, ISIC_0014290_downsampled ,1, MEL ,, 2023-11-05 16:28:33 ,0
2, ISIC_0014897_downsampled ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0015983_downsampled ,0, BCC ,, 2023-10-05 10:43:27 ,0
2, ISIC_0024475 ,2, VASC,, 2023-11-05 16:46:06 ,0
2, ISIC_0024693 ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0024750 ,2, NV,, 2023-11-05 16:46:10 ,0
2, ISIC_0024994 ,2, Altro ,, 2023-11-05 16:46:16 ,0
2, ISIC_0025286 ,0, MEL ,, 2023-10-05 10:43:27 ,0
2, ISIC_0025319 ,0, BCC ,, 2023-10-05 10:43:27 ,0
2, ISIC_0025331 ,1, SCC ,, 2023-11-05 16:28:54 ,0
2, ISIC_0025394 ,0, NV,, 2023-10-05 10:43:27 ,0
2, ISIC_0025489 ,0, NV,, 2023-10-05 10:43:27 ,0
2, ISIC_0025587 ,2, NV,, 2023-11-05 16:46:22 ,0
2, ISIC_0025612 ,2, VASC,, 2023-11-05 16:46:25 ,0
